# Russian	Uzbek (Latin)	English
Не удалось проверить товар: HTTP 	Tovarni tekshirib bo‘lmadi: HTTP 	Could not check product: HTTP\s
Сканируйте КИЗ.	KIZni skanerlang.	Scan the marking code.
\nКИЗ: 	\nKIZ: 	\nMarking code:\s
КИЗ не принят: не удалось проверить уникальность в WMS.\n	KIZ qabul qilinmadi: WMSda uning takrorlanmasligini tekshirib bo‘lmadi.\n	Marking code not accepted: could not verify uniqueness in WMS.\n
Восстановите связь и отсканируйте этот КИЗ еще раз.	Aloqani tiklang va bu KIZni qayta skanerlang.	Restore the connection and scan this marking code again.
Товар добавлен в короб: 	Tovar qutiga qo‘shildi: 	Item added to box:\s
. В коробе: 	. Qutida: 	. In box:\s
Локальная очередь приемки недоступна.	Mahalliy qabul navbati mavjud emas.	Local receiving queue is unavailable.
Без короба	Qutisiz	No box
Сохраняю товар в WMS: 	Tovar WMSga saqlanmoqda: 	Saving item in WMS:\s
\nСохраняю товар в WMS.	\nTovar WMSga saqlanmoqda.	\nSaving item in WMS.
Поштучная приемка ТСД без коробов	TSD orqali qutisiz donalab qabul qilish	Handheld receiving of individual items without boxes
ОШИБКА ПРИЕМКИ\n	QABUL QILISH XATOSI\n	RECEIVING ERROR\n
Товар сохранен в очереди и будет передан в WMS после восстановления связи.	Tovar navbatga saqlandi va aloqa tiklanganda WMSga yuboriladi.	Item saved in the queue and will be sent to WMS when the connection is restored.
Товар принят в WMS: 	Tovar WMSda qabul qilindi: 	Item received in WMS:\s
Скан товара отменен.	Tovar skani bekor qilindi.	Item scan cancelled.
Локальная очередь недоступна.	Mahalliy navbat mavjud emas.	Local queue unavailable.
Сначала откройте короб.	Avval qutini oching.	Open a box first.
Сначала завершите скан товара и КИЗ или отмените этот товар.	Avval tovar shtrixkodi va KIZini skanerlashni tugating yoki bu tovarni bekor qiling.	Finish scanning the product barcode and marking code, or cancel this item first.
В коробе нет товара. Сканируйте товар или смените короб.	Qutida tovar yo‘q. Tovarni skanerlang yoki qutini almashtiring.	No items in the box. Scan an item or change the box.
Сохраняю короб 	Quti saqlanmoqda: 	Saving box\s
 в WMS. Не нажимайте кнопку повторно.	 WMSga. Tugmani qayta bosmang.	 in WMS. Do not press the button again.
Приемка ТСД: короб 	TSD qabul: quti 	Handheld receiving: box\s
ДУБЛЬ КИЗ / ОШИБКА ПРИЕМКИ\n	TAKRORIY KIZ / QABUL QILISH XATOSI\n	DUPLICATE MARKING CODE / RECEIVING ERROR\n
Короб сохранен в очереди: 	Quti navbatga saqlandi: 	Box saved in queue:\s
. КИЗ будут проверены при синхронизации.	. KIZlar sinxronlash paytida tekshiriladi.	. Marking codes will be checked during sync.
Короб закрыт и записан в WMS: 	Quti yopildi va WMSga yozildi: 	Box closed and recorded in WMS:\s
Передаю и закрываю короб 	Quti yuborilmoqda va yopilmoqda: 	Sending and closing box\s
 в WMS.	 WMSda.	 in WMS.
Короб закрыт в WMS и готов к постановке на паллетсорт: 	Quti WMSda yopildi va saralash paletiga qo‘yishga tayyor: 	Box closed in WMS and ready to place on a sorting pallet:\s
 ещё не закрыт. 	 hali yopilmagan. 	 is not closed yet.\s
. Операции сохранены в очереди.	. Amallar navbatga saqlandi.	. Operations saved in the queue.
 сохранён в очереди и ожидает подтверждения закрытия WMS.	 navbatga saqlandi, WMSdan yopilish tasdig‘ini kutmoqda.	 saved in the queue and awaiting WMS closing confirmation.
Сначала закройте текущий короб.	Avval joriy qutini yoping.	Close the current box first.
Приемка завершена на ТСД. Подтверждено закрытие коробов: 	TSDda qabul tugadi. Yopilishi tasdiqlangan qutilar: 	Receiving finished on handheld. Confirmed closed boxes:\s
. Неподтвержденные операции остаются в очереди синхронизации.	. Tasdiqlanmagan amallar sinxronlash navbatida qoladi.	. Unconfirmed operations remain in the sync queue.
Приемка закрыта. Товаров: 	Qabul yopildi. Tovarlar: 	Receiving closed. Items:\s
Приемка по боксам закрыта. Боксов: 	Qutilar bo‘yicha qabul yopildi. Qutilar: 	Box receiving closed. Boxes:\s
, товаров: 	, tovarlar: 	, items:\s
Укажите логин и пароль сотрудника.	Xodim login va parolini kiriting.	Enter the employee login and password.
Пустой ответ сервера	Serverdan bo‘sh javob	Empty server response
Вошел сотрудник: 	Kirish qilgan xodim: 	Employee signed in:\s
. ТСД: 	. TSD: 	. Handheld:\s
Для этого ТСД нет доступных клиентов.	Bu TSD uchun mijozlar mavjud emas.	No clients available for this handheld.
Клиенты загружены: 	Yuklangan mijozlar: 	Clients loaded:\s
: отправлено 	: yuborildi 	: sent\s
Вход ТСД сброшен.	TSD kirishi tiklandi.	Handheld sign-in reset.
Нет связи с WMS. Проверьте интернет и повторите.	WMS bilan aloqa yo‘q. Internetni tekshirib, qayta urinib ko‘ring.	No connection to WMS. Check the internet and try again.
Ошибка приложения.	Ilova xatosi.	Application error.
Диспетчер перезагрузил текущую заявку.	Dispetcher joriy arizani qayta yukladi.	The dispatcher reloaded the current request.
Администратор разблокировал инвентаризацию. Можно продолжать работу.	Administrator inventarizatsiyani blokdan chiqardi. Ishni davom ettirish mumkin.	The administrator unlocked the inventory count. You can continue working.
Ошибка сканирования	Skanerlash xatosi	Scanning error
Приёмка	Qabul qilish	Receiving
Переклейка	Qayta yorliqlash	Relabelling
Упаковка без коробов	Qutisiz qadoqlash	Packing without boxes
Список FBS-заявок	FBS topshiriqlari ro‘yxati	FBS request list
Паллетное хранение	Paletlarda saqlash	Pallet storage
Перемещение товара	Tovarni ko‘chirish	Item transfer
Настройки	Sozlamalar	Settings
Информация	Ma’lumot	Information
Главное меню	Asosiy menyu	Main menu
Вход сотрудника	Xodim kirishi	Employee sign-in
не выполнен	kirilmagan	not signed in
Онлайн	Onlayn	Online
Офлайн	Oflayn	Offline
 · очередь: 	 · navbat: 	 · queue:\s
Сканировать камерой телефона	Telefon kamerasi bilan skanerlash	Scan with phone camera
Режим телефона включён. На рабочих экранах используйте кнопку сканирования камерой.	Telefon rejimi yoqildi. Ish ekranlarida kamera orqali skanerlash tugmasidan foydalaning.	Phone mode enabled. Use the camera scan button on work screens.
Режим аппаратного ТСД включён.	Apparat TSD rejimi yoqildi.	Hardware handheld mode enabled.
На этом экране нет активного поля сканирования.	Bu ekranda faol skanerlash maydoni yo‘q.	There is no active scan field on this screen.
На устройстве не найдена камера.	Qurilmada kamera topilmadi.	No camera found on this device.
Наведите камеру на штрихкод или КИЗ	Kamerani shtrix-kod yoki KIZga qarating	Point the camera at a barcode or marking code
Закрыть камеру	Kamerani yopish	Close camera
Камера временно недоступна. Закройте другие приложения с камерой и повторите.	Kamera vaqtincha ishlamayapti. Kameradan foydalanayotgan boshqa ilovalarni yoping va qayta urinib ko‘ring.	Camera temporarily unavailable. Close other apps using the camera and try again.
Версия 	Versiya 	Version\s
НЕ ОПРЕДЕЛЁН	ANIQLANMAGAN	UNDETERMINED
СКЛАД WB: 	WB OMBORI: 	WB WAREHOUSE:\s
ЯНДЕКС	YANDEX	YANDEX
СКЛАД ЗАКАЗА\n	BUYURTMA OMBORI\n	ORDER WAREHOUSE\n
СКЛАД 	OMBOR 	WAREHOUSE\s
МАРК+ПЕРЕМЕЩЕНИЕ	YORLIQLASH+KO‘CHIRISH	RELABEL+TRANSFER
ПЕРЕМАРКИРОВКА	QAYTA YORLIQLASH	RELABELLING
ПЕРЕМЕЩЕНИЕ	KO‘CHIRISH	TRANSFER
ЦЕЛИКОМ	BUTUN QUTI	WHOLE BOX
Место хранения не задано	Saqlash joyi belgilanmagan	Storage location not set
 · Паллета: 	 · Pallet: 	 · Pallet:\s
постав	jo‘natma	shipment
Откройте приемку заново.	Qabul qilishni qayta oching.	Reopen receiving.
Обновите клиентов и выберите клиента приемки.	Mijozlar ro‘yxatini yangilang va qabul mijozini tanlang.	Refresh clients and select the receiving client.
приемка по боксам	qutilar bo‘yicha qabul	receiving by boxes
обычная приемка	oddiy qabul	standard receiving
Новый товар без карточки\nШК 	Kartochkasiz yangi tovar\nShtrixkod 	New product without a product card\nBarcode\s
Ошибка: в поле ШК товара отсканирован номер короба.	Xato: tovar shtrixkodi maydonida quti raqami skanerlangan.	Error: a box number was scanned in the product barcode field.
Ошибка: ШК товара не должен быть длиннее 13 символов. Возможно, отсканирован КИЗ.	Xato: tovar shtrixkodi 13 belgidan uzun bo‘lmasligi kerak. Ehtimol, KIZ skanerlangan.	Error: product barcode must be no longer than 13 characters. You may have scanned a marking code.
Ошибка: в поле КИЗ отсканирован номер короба.	Xato: KIZ maydonida quti raqami skanerlangan.	Error: a box number was scanned in the marking code field.
Ошибка: КИЗ должен быть длиннее 20 символов. Возможно, отсканирован ШК товара.	Xato: KIZ 20 belgidan uzun bo‘lishi kerak. Ehtimol, tovar shtrixkodi skanerlangan.	Error: marking code must be longer than 20 characters. You may have scanned a product barcode.
[^A-ZА-ЯЁ0-9]	[^A-ZА-ЯЁ0-9]	[^A-ZА-ЯЁ0-9]
Отсканирован номер короба. Сейчас нужен КИЗ Data Matrix товара.	Quti raqami skanerlandi. Hozir mahsulotning Data Matrix KIZ kodi kerak.	A box number was scanned. Scan the product Data Matrix marking code now.
ПАЛЛЕТСОРТ	SARALASH PALETI	SORTING PALLET
Отсканирован код паллетсорта. Сейчас нужен КИЗ Data Matrix товара.	Palletsort kodi skanerlandi. Hozir mahsulotning Data Matrix KIZ kodi kerak.	A sorting pallet code was scanned. Scan the product Data Matrix marking code now.
Отсканирован обычный ШК товара. Сейчас нужен КИЗ Data Matrix.	Oddiy mahsulot SHK skanerlandi. Hozir Data Matrix KIZ kerak.	A regular product barcode was scanned. Scan the Data Matrix marking code now.
Отсканирован не КИЗ. Нужен Data Matrix длиной от 21 до 135 символов.	KIZ skanerlanmadi. 21 dan 135 belgigacha Data Matrix kerak.	This is not a marking code. A Data Matrix code of 21 to 135 characters is required.
Код неверного типа. КИЗ должен содержать группы 01 (GTIN) и 21 (серийный номер).	Kod turi noto‘g‘ri. KIZ 01 (GTIN) va 21 (seriya raqami) guruhlarini o‘z ichiga olishi kerak.	Wrong code type. A marking code must contain groups 01 (GTIN) and 21 (serial number).
Короб с дублем: 	Takroriy KIZ bo‘lgan quti: 	Box with duplicate:\s
Дубль найден в текущей приемке.	Joriy qabulda takroriy KIZ topildi.	Duplicate found in the current receiving session.
Дубль уже есть в WMS.	Takroriy KIZ WMSda mavjud.	Duplicate already exists in WMS.
ДУБЛЬ КИЗ\n	TAKRORIY KIZ\n	DUPLICATE MARKING CODE\n
Обновление уже загружается.	Yangilanish allaqachon yuklanmoqda.	Update already downloading.
Перед обновлением войдите на ТСД и синхронизируйте операции.	Yangilashdan oldin TSDga kiring va amallarni sinxronlang.	Before updating, sign in on the handheld and sync operations.
Проверяю очередь и синхронизирую данные перед обновлением...	Yangilashdan oldin navbat tekshirilmoqda va ma’lumotlar sinxronlanmoqda...	Checking queue and syncing data before update...
Очередь синхронизирована. Загружаю обновление...	Navbat sinxronlandi. Yangilanish yuklanmoqda...	Queue synced. Downloading update...
Обновление остановлено: не отправлено операций — 	Yangilash to‘xtatildi: yuborilmagan amallar — 	Update stopped: unsent operations —\s
. Проверьте интернет и повторите синхронизацию.	. Internetni tekshiring va qayta sinxronlang.	. Check the internet and sync again.
Очередь отправлена. Отклоненные операции сохранены на ТСД и в разборе WMS.	Navbat yuborildi. Rad etilgan amallar TSDda va WMS tekshiruv bo‘limida saqlandi.	Queue sent. Rejected operations saved on the handheld and in WMS review.
Все данные синхронизированы. Загружаю обновление...	Barcha ma’lumotlar sinxronlandi. Yangilanish yuklanmoqda...	All data synced. Downloading update...
Скачиваю и проверяю обновление ТСД...	TSD yangilanishi yuklanmoqda va tekshirilmoqda...	Downloading and verifying handheld update...
На ТСД уже установлена актуальная версия.	TSDda eng so‘nggi versiya o‘rnatilgan.	The latest version is already installed on the handheld.
Не удалось обновить ТСД: 	TSDni yangilab bo‘lmadi: 	Could not update handheld:\s
ошибка загрузки	yuklash xatosi	download error
контрольная сумма APK не совпала	APK nazorat summasi mos kelmadi	APK checksum mismatch
сервер обновлений ответил HTTP 	yangilash serveri HTTP javobini qaytardi: 	update server returned HTTP\s
СООБЩЕНИЕ ИЗ ВМС\n	WMSDAN XABAR\n	MESSAGE FROM WMS\n
ОК — прочитано	OK — o‘qidim	OK — read
Подтверждаю прочтение…	O‘qilganligi tasdiqlanmoqda…	Confirming read receipt…
Нет подтверждения от ВМС. Проверьте связь и нажмите ОК ещё раз.	WMSdan tasdiq kelmadi. Aloqani tekshiring va OKni qayta bosing.	No confirmation from WMS. Check connection and tap OK again.
пустой бокс · сохранён на месте	bo‘sh boks · o‘z joyida saqlandi	empty storage box · kept in place
архив	arxiv	archived
подтверждён	tasdiqlangan	confirmed
не отсканирован	skanerlanmagan	not scanned
 — НЕ списывается: 	 — hisobdan CHIQARILMAYDI: 	 — NOT written off:\s
 — останется активным на своём месте\n	 — o‘z joyida faol qoladi\n	 — will remain active at its location\n
 — будет архивирован\n	 — arxivlanadi\n	 — will be archived\n
 — проблемный: не найден в WMS · 	 — muammo: WMSda topilmadi · 	 — problem: not found in WMS ·\s
отсканирован	skanerlangan	scanned
Администратор · 	Administrator · 	Administrator ·\s
Сохраняю / проверяю… Не сканируйте повторно.	Saqlanmoqda / tekshirilmoqda… Qayta skanerlamang.	Saving / checking… Do not scan again.
Ответ не подтверждён. Повторяем ту же операцию, без повторного перемещения.	Natija tasdiqlanmagan. Tovar qayta ko‘chirilmasdan, ayni amal takroran so‘ralmoqda.	Result not confirmed. Retrying the same operation without another transfer.
Повторить тот же запрос	Ayni so‘rovni takrorlash	Retry the same request
Продолжить 	Davom ettirish 	Continue\s
Сверка коробов	Qutilarni solishtirish	Box reconciliation
Формирование новых коробов	Yangi qutilarni shakllantirish	Creating new boxes
Завершено	Yakunlangan	Completed
Перемещено: 	Ko‘chirildi: 	Transferred:\s
 ед. · Оприходовано найденных: 	 dona · topilganidan qabul qilindi: 	 units · found items received:\s
Перестроение FBS ещё не завершено.	FBS marshrutlarini qayta tuzish hali tugamadi.	FBS route rebuilding is not complete yet.
Повторить перестроение маршрутов	Marshrutlarni qayta tuzishni takrorlash	Retry rebuilding routes
Фактический паллет-сорт целевого короба	Maqsad qutining amaldagi saralash paleti	Actual sorting pallet of the destination box
Заполняется 	To‘ldirilmoqda: 	Filling\s
Исходный короб (если КИЗ ещё не привязан)	Manba quti (KIZ hali bog‘lanmagan bo‘lsa)	Source box (if marking code is not linked yet)
Для учтённого КИЗа исходный короб не нужен. Если КИЗ ещё не привязан, укажите фактический короб; совпадение с исходным паллетом не требуется.	Hisobdagi KIZ uchun manba quti kerak emas. KIZ hali bog‘lanmagan bo‘lsa, amaldagi qutini kiriting; u manba paletda bo‘lishi shart emas.	A source box is not needed for a recorded marking code. If the marking code is not linked yet, specify the actual box; it does not have to be on the source pallet.
Паллет-сорт или короб	Saralash paleti yoki quti	Sorting pallet or box
Целевой короб — новый или закрытый	Maqsad quti — yangi yoki yopilgan	Destination box — new or closed
ШК: 	Shtrixkod: 	Barcode:\s
Отменить текущую единицу	Joriy birlikni bekor qilish	Cancel current item
Начать сортировку	Saralashni boshlash	Start sorting
Расхождения по коробам: 	Qutilar bo‘yicha farqlar: 	Box discrepancies:\s
Приступить к формированию новых коробов	Yangi qutilarni shakllantirishni boshlash	Start creating new boxes
Завершить сортировку	Saralashni yakunlash	Finish sorting
 · закрыт	 · yopilgan	 · closed
 · открыт	 · ochiq	 · open
Доложить в 	Tovar qo‘shish: 	Add items to\s
В главное меню (сессия сохранена)	Asosiy menyu (sessiya saqlangan)	Main menu (session saved)
Ошибка 	Xato 	Error\s
Ошибка сервера 	Server xatosi 	Server error\s
. Повторите проверку.	. Qayta tekshiring.	. Check again.
Найденная единица учтена в целевом коробе. История операции сохранена.	Topilgan birlik maqsad qutida hisobga olindi. Amal tarixi saqlandi.	Found item recorded in the destination box. Operation history saved.
Действие сохранено.	Amal saqlandi.	Action saved.
К списанию: 	Hisobdan chiqariladi: 	To write off:\s
 ед.\n	 dona\n	 units\n
Оприходовано найденных: 	Topilganidan qabul qilindi: 	Found items received:\s
Подтверждаю отсутствие товара и его списание	Tovar yo‘qligini va hisobdan chiqarilishini tasdiqlayman	I confirm that the items are missing and should be written off
Подтверждение расхождений	Farqlarni tasdiqlash	Confirm discrepancies
Применить решение	Qarorni qo‘llash	Apply decision
Ошибка сети. Повторите запрос.	Tarmoq xatosi. So‘rovni takrorlang.	Network error. Retry the request.
Найден ранее списанный товар	Avval hisobdan chiqarilgan tovar topildi	Previously written-off item found
Восстановление отменено. Остатки не изменены.	Tiklash bekor qilindi. Qoldiq o‘zgarmadi.	Restore cancelled. Stock unchanged.
Товар у меня — восстановить 1 шт.	Tovar qo‘limda — 1 donani tiklash	I have the item — restore 1 unit
Повторить тот же	Ayni so‘rovni takrorlash	Retry same request
Пустой скан	Bo‘sh skan	Empty scan
Сначала завершите текущий этап	Avval joriy bosqichni tugating	Complete the current stage first
ШК не соответствует выбранному отобранному товару	Shtrixkod tanlangan terilgan tovarga mos emas	Barcode does not match the selected picked product
КИЗ не соответствует выбранной отобранной единице	KIZ tanlangan terilgan birlikka mos emas	Marking code does not match the selected picked item
Сначала уточните результат размещения в 	Avval joylash natijasini tekshiring: 	First check the result of placing into\s
Повторите целевой короб 	Maqsad qutini qayta skanerlang: 	Scan the destination box again:\s
: результат предыдущего запроса ещё не подтверждён	: oldingi so‘rov natijasi hali tasdiqlanmagan	: the previous request result is not confirmed yet
Отсканируйте исходный короб	Manba qutini skanerlang	Scan source box
Сканируйте ШК товара, затем КИЗ. Исходный короб определит WMS.	Tovar shtrixkodini, so‘ng KIZini skanerlang. Manba qutini WMS aniqlaydi.	Scan the product barcode, then the marking code. WMS will identify the source box.
ШК → КИЗ → БОКС	SHTRIXKOD → KIZ → BOKS	BARCODE → MARKING CODE → STORAGE BOX
КОРОБ → БОКС	QUTI → BOKS	BOX → STORAGE BOX
Перемещение по одной единице	Donalab ko‘chirish	Transfer one item at a time
 · ТСД: 	 · TSD: 	 · Handheld:\s
ИЗ КОРОБА	QUTIDAN	FROM BOX
\nОстаток: 	\nQoldiq: 	\nStock:\s
ТОВАР	TOVAR	PRODUCT
СЕЙЧАС	HOZIR	NOW
ГОТОВО	TAYYOR	DONE
СТАТУС	HOLAT	STATUS
ПОДОЖДИТЕ…	KUTING…	PLEASE WAIT…
ПОДТВЕРДИТЬ СКАН	SKANNI TASDIQLASH	CONFIRM SCAN
СВЕРКА КИЗОВ	KIZLARNI SOLISHTIRISH	MARKING CODE RECONCILIATION
Выбранный ШК: 	Tanlangan shtrixkod: 	Selected barcode:\s
\nОтсканировано: 	\nSkanerlandi: 	\nScanned:\s
\nСканируйте ВСЕ КИЗы только этого товара в исходном коробе. Остальные товары не пересчитываются.	\nManba qutidagi faqat shu tovarning BARCHA KIZlarini skanerlang. Boshqa tovarlar qayta sanalmaydi.	\nScan ALL marking codes of this product in the source box. Other products will not be recounted.
ПОВТОРИТЬ ОТМЕНУ СВЕРКИ	SOLISHTIRISHNI BEKOR QILISHNI TAKRORLASH	RETRY CANCELLING RECONCILIATION
ПОДТВЕРДИТЬ СВЕРКУ	SOLISHTIRISHNI TASDIQLASH	CONFIRM RECONCILIATION
ВСЕ КИЗЫ ЭТОГО ТОВАРА ОТСКАНИРОВАНЫ	SHU TOVARNING BARCHA KIZLARI SKANERLANDI	ALL MARKING CODES OF THIS PRODUCT SCANNED
РЕШЕНИЕ АДМИНИСТРАТОРА	ADMINISTRATOR QARORI	ADMINISTRATOR DECISION
\n\nПодтверждаю физическое наличие всех отсканированных единиц и указанные изменения. Старые наклейки снятых сборок не использовать.	\n\nBarcha skanerlangan birliklar jismonan mavjudligini va ko‘rsatilgan o‘zgarishlarni tasdiqlayman. Bekor qilingan terishlarning eski yorliqlarini ishlatmang.	\n\nI confirm that all scanned items are physically present and approve the listed changes. Do not use old labels from cancelled picking tasks.
Подтверждаю	Tasdiqlayman	Confirm
Полный пересчёт товара	Tovarni to‘liq qayta sanash	Full product recount
Вы отсканировали все 	Barchasini skanerladingizmi: 	Have you scanned all\s
 единиц товара с ШК 	 dona, shtrixkod 	 units with barcode\s
 в коробе 	 qutida: 	 in box\s
Да, все	Ha, barchasi	Yes, all
Продолжить сканы	Skanerlashni davom ettirish	Continue scanning
ОТМЕНИТЬ НЕЗАВЕРШЁННУЮ СВЕРКУ	TUGALLANMAGAN SOLISHTIRISHNI BEKOR QILISH	CANCEL UNFINISHED RECONCILIATION
Отменить сверку?	Solishtirish bekor qilinsinmi?	Cancel reconciliation?
Остатки не изменятся. Удерживаемые задания вернутся на проверку КИЗ. Если сверка уже применена, WMS только завершит обновление маршрутов. После отмены пересканируйте все КИЗы заново.	Qoldiq o‘zgarmaydi. Ushlab turilgan topshiriqlar KIZ tekshiruviga qaytadi. Solishtirish allaqachon qo‘llangan bo‘lsa, WMS faqat marshrutlarni yangilashni tugatadi. Bekor qilgandan so‘ng barcha KIZlarni qayta skanerlang.	Stock will not change. Held tasks will return to marking-code verification. If reconciliation has already been applied, WMS will only finish updating routes. After cancelling, rescan all marking codes.
Отменить сверку	Solishtirishni bekor qilish	Cancel reconciliation
СВЕРИТЬ КИЗЫ ЭТОГО ТОВАРА	SHU TOVARNING KIZLARINI SOLISHTIRISH	RECONCILE THIS PRODUCT’S MARKING CODES
Сканируйте по очереди все физические КИЗы выбранного товара. Затем подтвердите полный список.	Tanlangan tovarning amaldagi barcha KIZlarini ketma-ket skanerlang. Keyin to‘liq ro‘yxatni tasdiqlang.	Scan all physical marking codes of the selected product one by one. Then confirm the complete list.
ОТМЕНИТЬ ТЕКУЩУЮ ЕДИНИЦУ	JORIY BIRLIKNI BEKOR QILISH	CANCEL CURRENT ITEM
Текущая единица отменена. Сканируйте следующий ШК.	Joriy birlik bekor qilindi. Keyingi shtrixkodni skanerlang.	Current item cancelled. Scan the next barcode.
ДРУГОЙ ИСХОДНЫЙ КОРОБ	BOSHQA MANBA QUTI	ANOTHER SOURCE BOX
Скан пустой. Повторите сканирование.	Skan bo‘sh. Qayta skanerlang.	Empty scan. Scan again.
КИЗ учтён. Сканируйте следующую единицу этого товара.	KIZ hisobga olindi. Shu tovarning keyingi birligini skanerlang.	Marking code recorded. Scan the next item of this product.
Этот КИЗ уже учтён; повтор не добавлен.	Bu KIZ avval hisobga olingan; takroran qo‘shilmadi.	This marking code is already recorded; no duplicate added.
Короб открыт. Сканируйте ШК товара.	Quti ochildi. Tovar shtrixkodini skanerlang.	Box opened. Scan the product barcode.
 Исходный короб пуст и отправлен в архив.	 Manba quti bo‘sh va arxivga yuborildi.	 The source box is empty and has been archived.
 Сканируйте ШК следующей единицы — её источник определится заново.	 Keyingi birlik shtrixkodini skanerlang — uning manbasi qayta aniqlanadi.	 Scan the next item’s barcode — its source will be identified again.
 Можно сканировать следующую единицу из этого же короба.	 Shu qutidan keyingi birlikni skanerlashingiz mumkin.	 You can scan the next item from the same box.
Не удалось сохранить сверку. Подтверждение не отправлено.	Solishtirishni saqlab bo‘lmadi. Tasdiq yuborilmadi.	Could not save reconciliation. Confirmation was not sent.
Неизвестный результат сверки. Повторите подтверждение; данные операции сохранены.	Solishtirish natijasi noma’lum. Tasdiqlashni takrorlang; amal ma’lumotlari saqlangan.	Reconciliation result unknown. Confirm again; operation data has been saved.
Не получен список старых коробов. Повторите проверку.	Eski qutilar ro‘yxati olinmadi. Qayta tekshiring.	Old box list not received. Check again.
Фактическое количество	Haqiqiy miqdor	Actual quantity
Решение администратора	Administrator qarori	Administrator decision
Проверить изменения	O‘zgarishlarni tekshirish	Check changes
Введите количество от 0 до 10000	0 dan 10000 gacha miqdor kiriting	Enter a quantity from 0 to 10000
Есть неподтверждённая сверка. Нажмите ПОДТВЕРДИТЬ СВЕРКУ. Повторных изменений не будет.	Tasdiqlanmagan solishtirish bor. SOLISHTIRISHNI TASDIQLASHni bosing. O‘zgarishlar takroran qo‘llanmaydi.	There is an unconfirmed reconciliation. Tap CONFIRM RECONCILIATION. Changes will not be applied twice.
Не удалось восстановить сверку. Нужна проверка менеджера перед новым перемещением.	Solishtirishni tiklab bo‘lmadi. Yangi ko‘chirishdan oldin menejer tekshiruvi kerak.	Could not restore reconciliation. Manager review is required before another transfer.
Проверяем…	Tekshirilmoqda…	Checking…
Нет связи с WMS. Повторите скан.	WMS bilan aloqa yo‘q. Qayta skanerlang.	No connection to WMS. Scan again.
WMS вернула ошибку HTTP 	WMS HTTP xatosini qaytardi: 	WMS returned HTTP error\s
. Повторите сканирование.	. Qayta skanerlang.	. Scan again.
Отсканируйте ШК товара	Tovar shtrixkodini skanerlang	Scan the product barcode
Проверьте результат и подтвердите сверку	Natijani tekshiring va solishtirishni tasdiqlang	Check the result and confirm reconciliation
Сканируйте все КИЗы выбранного товара	Tanlangan tovarning barcha KIZlarini skanerlang	Scan all marking codes of the selected product
1. Сканируйте ШК товара	1. Tovar shtrixkodini skanerlang	1. Scan the product barcode
2. Сканируйте КИЗ этой единицы	2. Shu birlik KIZini skanerlang	2. Scan this item’s marking code
3. Сканируйте бокс хранения	3. Saqlash boksini skanerlang	3. Scan the storage box
КИЗ следующей единицы	Keyingi birlik KIZi	Next item’s marking code
Бокс хранения	Saqlash boksi	Storage box
 · Цвет: 	 · Rang: 	 · Colour:\s
Не удалось сохранить операцию на ТСД. Перемещение не отправлено.	Amalni TSDda saqlab bo‘lmadi. Ko‘chirish yuborilmadi.	Could not save operation on handheld. Transfer was not sent.
Есть неподтверждённое перемещение. Повторно отсканируйте бокс 	Tasdiqlanmagan ko‘chirish bor. Boksni qayta skanerlang: 	There is an unconfirmed transfer. Scan the storage box again:\s
. Двойного перемещения не будет.	. Ko‘chirish takroran bajarilmaydi.	. The transfer will not be performed twice.
Не удалось восстановить операцию. Обратитесь к администратору перед новым перемещением.	Amalni tiklab bo‘lmadi. Yangi ko‘chirishdan oldin administratorga murojaat qiling.	Could not restore the operation. Contact an administrator before another transfer.
Сначала подтвердите результат перемещения в 	Avval ko‘chirish natijasini tasdiqlang: 	First confirm the result of the transfer into\s
. Повторно отсканируйте этот бокс.	. Shu boksni qayta skanerlang.	. Scan this storage box again.
WMS ещё не определила исходный короб	WMS manba qutini hali aniqlamadi	WMS has not identified the source box yet
Сначала подтвердите результат перемещения.	Avval ko‘chirish natijasini tasdiqlang.	Confirm the transfer result first.
Список уже проверен. Подтвердите или отмените сверку.	Ro‘yxat tekshirilgan. Solishtirishni tasdiqlang yoki bekor qiling.	List already checked. Confirm or cancel reconciliation.
Сканируйте полный КИЗ товара.	Tovarning to‘liq KIZini skanerlang.	Scan the full product marking code.
Неполный КИЗ. Повторите скан.	KIZ to‘liq emas. Qayta skanerlang.	Incomplete marking code. Scan again.
Не более 200 КИЗов за сверку.	Bir solishtirishda 200 tadan ortiq KIZ mumkin emas.	No more than 200 marking codes per reconciliation.
Сверка уже проверена. Начните проверку заново.	Solishtirish avval tekshirilgan. Tekshiruvni qayta boshlang.	Reconciliation already checked. Start checking again.
Укажите фактическое количество от 0 до 10000.	Haqiqiy miqdorni 0 dan 10000 gacha kiriting.	Enter the actual quantity from 0 to 10000.
Нет полного списка или проверки WMS.	To‘liq ro‘yxat yoki WMS tekshiruvi yo‘q.	No complete list or WMS verification.
Нет подтверждённой административной сверки.	Tasdiqlangan administrator solishtiruvi yo‘q.	No confirmed administrative reconciliation.
Нет административного решения для подтверждения.	Tasdiqlash uchun administrator qarori yo‘q.	No administrator decision to confirm.
Нет сохранённой сверки.	Saqlangan solishtirish yo‘q.	No saved reconciliation.
Нет номера сверки	Solishtirish raqami yo‘q	No reconciliation number
Повреждена локальная порция закрытия короба.	Qutini yopish uchun mahalliy ma’lumotlar buzilgan.	Local box closing batch is corrupted.
